Stock,Year,Month,Day,Open,High,Low,Close
GOOG,2019,10,1,1219.0,1231.22998,1203.579956,1205.099976
GOOG,2019,10,2,1196.97998,1196.97998,1171.290039,1176.630005
GOOG,2019,10,3,1180.0,1189.060059,1162.430054,1187.829956
GOOG,2019,10,4,1191.890015,1211.439941,1189.170044,1209.0
GOOG,2019,10,7,1204.400024,1218.203979,1203.75,1207.680054
GOOG,2019,10,8,1197.589966,1206.079956,1189.01001,1189.130005
GOOG,2019,10,9,1199.349976,1208.349976,1197.630005,1202.310059
GOOG,2019,10,10,1198.579956,1215.0,1197.339966,1208.670044
GOOG,2019,10,11,1222.209961,1228.390015,1213.73999,1215.449951
GOOG,2019,10,14,1212.339966,1226.329956,1211.76001,1217.140015
GOOG,2019,10,15,1220.400024,1247.329956,1220.400024,1243.01001
GOOG,2019,10,16,1565.849976,1586.98999,1545.030029,1567.659973
GOOG,2019,10,17,1565.849976,1586.98999,1545.030029,1567.659973
GOOG,2019,10,18,1253.459961,1258.890015,1241.079956,1245.48999
GOOG,2019,10,21,1252.26001,1254.629028,1240.599976,1246.150024
GOOG,2019,10,22,1247.849976,1250.599976,1241.380005,1242.800049
GOOG,2019,10,23,1242.359985,1259.890015,1242.359985,1259.130005
GOOG,2019,10,24,1260.900024,1264.0,1253.714966,1260.98999
GOOG,2019,10,25,1251.030029,1269.599976,1250.01001,1265.130005
GOOG,2019,10,28,1275.449951,1299.310059,1272.540039,1290.0
GOOG,2019,10,29,1276.22998,1281.589966,1257.212036,1262.619995
GOOG,2019,10,30,1252.969971,1269.359985,1252.0,1261.290039
GOOG,2019,10,31,1261.280029,1267.670044,1250.843018,1260.109985
GOOG,2019,11,1,1265.0,1274.619995,1260.5,1273.73999
GOOG,2019,11,4,1276.449951,1294.130005,1276.35498,1291.369995
GOOG,2019,11,5,1292.890015,1298.930054,1291.229004,1292.030029
GOOG,2019,11,6,1289.459961,1293.72998,1282.5,1291.800049
GOOG,2019,11,7,1294.280029,1323.73999,1294.244995,1308.859985
GOOG,2019,11,8,1305.280029,1318.0,1304.36499,1311.369995
GOOG,2019,11,11,1303.180054,1306.425049,1297.410034,1299.189941
GOOG,2019,11,12,1565.849976,1586.98999,1545.030029,1567.659973
GOOG,2019,11,13,1294.069946,1304.300049,1293.51001,1298.0
GOOG,2019,11,14,1297.5,1317.0,1295.650024,1311.459961
GOOG,2019,11,15,1318.939941,1334.880005,1314.280029,1334.869995
GOOG,2019,11,18,1332.219971,1335.529053,1317.5,1320.699951
GOOG,2019,11,19,1327.699951,1327.699951,1312.800049,1315.459961
GOOG,2019,11,20,1311.73999,1315.0,1291.150024,1303.050049
GOOG,2019,11,21,1301.47998,1312.589966,1293.0,1301.349976
GOOG,2019,11,22,1305.619995,1308.72998,1291.410034,1295.339966
GOOG,2019,11,25,1299.180054,1311.310059,1298.130005,1306.689941
GOOG,2019,11,26,1309.859985,1314.800049,1305.089966,1313.550049
GOOG,2019,11,27,1315.0,1318.359985,1309.630005,1312.98999
GOOG,2019,11,29,1307.119995,1310.204956,1303.969971,1304.959961
GOOG,2019,12,2,1301.0,1305.829956,1281.0,1289.920044
GOOG,2019,12,3,1279.569946,1298.46106,1279.0,1295.280029
GOOG,2019,12,4,1307.01001,1325.800049,1304.869995,1320.540039
GOOG,2019,12,5,1328.0,1329.358032,1316.439941,1328.130005
GOOG,2019,12,6,1333.439941,1344.0,1333.439941,1340.619995
GOOG,2019,12,9,1338.040039,1359.449951,1337.839966,1343.560059
GOOG,2019,12,10,1341.5,1349.974976,1336.040039,1344.660034
GOOG,2019,12,11,1350.839966,1351.199951,1342.670044,1345.02002
GOOG,2019,12,12,1345.939941,1355.775024,1340.5,1350.27002
GOOG,2019,12,13,1347.949951,1353.093018,1343.869995,1347.829956
GOOG,2019,12,16,1356.5,1364.680054,1352.670044,1361.170044
GOOG,2019,12,17,1362.890015,1365.0,1351.322998,1355.119995
GOOG,2019,12,18,1356.599976,1360.469971,1351.0,1352.619995
GOOG,2019,12,19,1351.819946,1358.099976,1348.984985,1356.040039
GOOG,2019,12,20,1363.349976,1363.640015,1349.0,1349.589966
GOOG,2019,12,23,1355.869995,1359.800049,1346.51001,1348.839966
GOOG,2019,12,24,1348.5,1350.26001,1342.780029,1343.560059
GOOG,2019,12,26,1346.170044,1361.327026,1344.469971,1360.400024
GOOG,2019,12,27,1362.98999,1364.530029,1349.310059,1351.890015
GOOG,2019,12,30,1350.0,1353.0,1334.02002,1336.140015
GOOG,2019,12,31,1330.109985,1338.0,1329.084961,1337.02002
GOOG,2020,1,2,1341.550049,1368.140015,1341.550049,1367.369995
GOOG,2020,1,3,1347.859985,1372.5,1345.543945,1360.660034
GOOG,2020,1,6,1350.0,1396.5,1350.0,1394.209961
GOOG,2020,1,7,1397.939941,1402.98999,1390.380005,1393.339966
GOOG,2020,1,8,1392.079956,1411.579956,1390.839966,1404.319946
GOOG,2020,1,9,1420.569946,1427.329956,1410.27002,1419.829956
GOOG,2020,1,10,1427.560059,1434.928955,1418.349976,1429.72998
GOOG,2020,1,13,1436.130005,1440.52002,1426.02002,1439.22998
GOOG,2020,1,14,1439.01001,1441.800049,1428.369995,1430.880005
GOOG,2020,1,15,1430.209961,1441.39502,1430.209961,1439.199951
GOOG,2020,1,16,1447.439941,1451.98999,1440.920044,1451.699951
GOOG,2020,1,17,1462.910034,1481.295044,1458.219971,1480.390015
GOOG,2020,1,21,1479.119995,1491.849976,1471.199951,1484.400024
GOOG,2020,1,22,1491.0,1503.213989,1484.930054,1485.949951
GOOG,2020,1,23,1487.640015,1495.52002,1482.099976,1486.650024
GOOG,2020,1,24,1493.589966,1495.494995,1465.25,1466.709961
GOOG,2020,1,27,1431.0,1438.069946,1421.199951,1433.900024
GOOG,2020,1,28,1443.0,1456.0,1432.469971,1452.560059
GOOG,2020,1,29,1458.800049,1465.430054,1446.73999,1458.630005
GOOG,2020,1,30,1439.959961,1457.280029,1436.400024,1455.839966
GOOG,2020,1,31,1468.900024,1470.130005,1428.530029,1434.22998
GOOG,2020,2,3,1462.0,1490.0,1458.98999,1485.939941
GOOG,2020,2,4,1457.069946,1469.5,1426.300049,1447.069946
GOOG,2020,2,5,1462.420044,1463.839966,1430.560059,1448.22998
GOOG,2020,2,6,1450.329956,1482.0,1449.569946,1476.22998
GOOG,2020,2,7,1467.300049,1485.839966,1466.349976,1479.22998
GOOG,2020,2,10,1474.319946,1509.5,1474.319946,1508.680054
GOOG,2020,2,11,1511.810059,1529.630005,1505.637939,1508.790039
GOOG,2020,2,12,1514.47998,1520.694946,1508.109985,1518.27002
GOOG,2020,2,13,1512.689941,1527.180054,1504.599976,1514.660034
GOOG,2020,2,14,1515.599976,1520.73999,1507.339966,1520.73999
GOOG,2020,2,18,1515.0,1531.630005,1512.589966,1567.659973
GOOG,2020,2,19,1525.069946,1532.105957,1521.400024,1526.689941
GOOG,2020,2,20,1522.0,1529.640015,1506.819946,1518.150024
GOOG,2020,2,21,1508.030029,1512.214966,1480.439941,1485.109985
GOOG,2020,2,24,1426.109985,1436.969971,1411.390015,1421.589966
GOOG,2020,2,25,1433.0,1438.140015,1382.400024,1388.449951
GOOG,2020,2,26,1396.140015,1415.699951,1379.0,1393.180054
GOOG,2020,2,27,1362.060059,1371.703979,1317.170044,1318.089966
GOOG,2020,2,28,1277.5,1341.140015,1271.0,1339.329956
GOOG,2020,3,2,1351.609985,1390.869995,1326.814941,1389.109985
GOOG,2020,3,3,1399.420044,1410.150024,1332.0,1341.390015
GOOG,2020,3,4,1359.22998,1388.089966,1343.109985,1386.52002
GOOG,2020,3,5,1350.199951,1358.910034,1305.099976,1319.040039
GOOG,2020,3,6,1277.060059,1306.219971,1261.050049,1298.410034
GOOG,2020,3,9,1205.300049,1254.76001,1200.0,1215.560059
GOOG,2020,3,10,1260.0,1281.150024,1218.77002,1280.390015
GOOG,2020,3,11,1249.699951,1260.959961,1196.069946,1215.410034
GOOG,2020,3,12,1126.0,1193.869995,1113.300049,1114.910034
GOOG,2020,3,13,1179.0,1219.76001,1117.142944,1219.72998
GOOG,2020,3,16,1096.0,1152.266968,1074.439941,1084.329956
GOOG,2020,3,17,1093.109985,1130.859985,1056.01001,1119.800049
GOOG,2020,3,18,1056.51001,1106.5,1037.280029,1096.800049
GOOG,2020,3,19,1093.050049,1157.969971,1060.108032,1115.290039
GOOG,2020,3,20,1135.719971,1143.98999,1065.48999,1072.319946
GOOG,2020,3,23,1061.319946,1071.319946,1013.536011,1056.619995
GOOG,2020,3,24,1103.77002,1135.0,1090.619995,1134.459961
GOOG,2020,3,25,1126.469971,1148.900024,1086.01001,1102.48999
GOOG,2020,3,26,1111.800049,1169.969971,1093.530029,1161.75
GOOG,2020,3,27,1125.670044,1150.670044,1105.910034,1110.709961
GOOG,2020,3,30,1125.040039,1151.630005,1096.47998,1146.819946
GOOG,2020,3,31,1565.849976,1586.98999,1545.030029,1567.659973
GOOG,2020,4,1,1122.0,1129.689941,1097.449951,1105.619995
GOOG,2020,4,2,1098.26001,1126.859985,1096.400024,1120.839966
GOOG,2020,4,3,1119.015015,1123.540039,1079.810059,1097.880005
GOOG,2020,4,6,1138.0,1194.660034,1130.939941,1186.920044
GOOG,2020,4,7,1221.0,1225.0,1182.22998,1186.51001
