Stock,Day,Month,Year,Open,High,Low,Close
AMZN,01,Oct,2019,1746.000000,1755.599976,1728.410034,1735.650024
AMZN,02,Oct,2019,1727.739990,1728.890015,1705.000000,1713.229980
AMZN,03,Oct,2019,1713.000000,1725.000000,1685.060059,1724.420044
AMZN,04,Oct,2019,1726.020020,1740.579956,1719.229980,1739.650024
AMZN,07,Oct,2019,1731.630005,1747.829956,1723.699951,1732.660034
AMZN,08,Oct,2019,1722.489990,1727.000000,1705.000000,1705.510010
AMZN,09,Oct,2019,1719.609985,1729.949951,1714.359985,1721.989990
AMZN,10,Oct,2019,1725.239990,1738.290039,1713.750000,1720.260010
AMZN,11,Oct,2019,1742.920044,1745.449951,1729.859985,1731.920044
AMZN,14,Oct,2019,1728.910034,1741.890015,1722.000000,1736.430054
AMZN,15,Oct,2019,1742.140015,1776.449951,1740.619995,1767.380005
AMZN,16,Oct,2019,1773.329956,1786.239990,1770.520020,1777.430054
AMZN,17,Oct,2019,1796.489990,1798.849976,1782.020020,1787.479980
AMZN,18,Oct,2019,1787.800049,1793.979980,1749.199951,1757.510010
AMZN,21,Oct,2019,1769.660034,1785.880005,1765.000000,1785.660034
AMZN,22,Oct,2019,1788.150024,1789.780029,1762.000000,1765.729980
AMZN,23,Oct,2019,1761.300049,1770.050049,1742.000000,1762.170044
AMZN,24,Oct,2019,1771.089966,1788.339966,1760.270020,1780.780029
AMZN,25,Oct,2019,1697.550049,1764.209961,1695.000000,1761.329956
AMZN,28,Oct,2019,1748.060059,1778.699951,1742.500000,1777.079956
AMZN,29,Oct,2019,1774.810059,1777.000000,1755.810059,1762.709961
AMZN,30,Oct,2019,1760.239990,1782.380005,1759.119995,1779.989990
AMZN,31,Oct,2019,1775.989990,1792.000000,1771.479980,1776.660034
—,—,—,—,—,—,—,—
AMZN,01,Nov,2019,1788.010010,1797.449951,1785.209961,1791.439941
AMZN,04,Nov,2019,1801.010010,1815.060059,1801.010010,1804.660034
AMZN,05,Nov,2019,,,,
AMZN,06,Nov,2019,1801.000000,1802.500000,1788.579956,1795.770020
AMZN,07,Nov,2019,1803.760010,1805.900024,1783.479980,1788.199951
AMZN,08,Nov,2019,1787.890015,1789.880005,1774.040039,1785.880005
AMZN,11,Nov,2019,1778.000000,1780.000000,1767.130005,1771.650024
AMZN,12,Nov,2019,1774.660034,1786.219971,1771.910034,1778.000000
AMZN,13,Nov,2019,1773.390015,1775.000000,1747.319946,1753.109985
AMZN,14,Nov,2019,1751.430054,1766.589966,1749.560059,1754.599976
