Stock,Year,Month,Day,Open,High,Low,Close
AAPL,2019,10,1,56.267502,57.055,56.049999,56.147499
AAPL,2019,10,2,55.764999,55.895,54.482498,54.740002
AAPL,2019,10,3,54.607498,55.240002,53.782501,55.205002
AAPL,2019,10,4,56.41,56.872501,55.9725,56.752499
AAPL,2019,10,7,56.567501,57.482498,56.459999,56.764999
AAPL,2019,10,8,56.455002,57.014999,56.0825,56.099998
AAPL,2019,10,9,56.7575,56.947498,56.41,56.7575
AAPL,2019,10,10,56.982498,57.610001,56.825001,57.522499
AAPL,2019,10,11,58.237499,59.41,58.077499,59.052502
AAPL,2019,10,14,58.724998,59.532501,58.6675,58.967499
AAPL,2019,10,15,115.86624900000001,117.21125,114.0687485,115.8950005
AAPL,2019,10,16,58.342499,58.810001,58.299999,58.592499
AAPL,2019,10,17,58.772499,59.037498,58.380001,58.82
AAPL,2019,10,18,58.647499,59.395,58.572498,59.102501
AAPL,2019,10,21,59.380001,60.247501,59.330002,60.127499
AAPL,2019,10,22,60.290001,60.549999,59.904999,59.990002
AAPL,2019,10,23,60.525002,60.810001,60.305,60.794998
AAPL,2019,10,24,61.127499,61.200001,60.452499,60.895
AAPL,2019,10,25,60.790001,61.682499,60.720001,61.645
AAPL,2019,10,28,61.855,62.3125,61.68,62.262501
AAPL,2019,10,29,62.2425,62.4375,60.642502,60.822498
AAPL,2019,10,30,61.189999,61.325001,60.302502,60.814999
AAPL,2019,10,31,61.810001,62.2925,59.314999,62.189999
AAPL,2019,11,1,62.384998,63.982498,62.290001,63.955002
AAPL,2019,11,4,64.332497,64.462502,63.845001,64.375
AAPL,2019,11,5,64.262497,64.547501,64.080002,64.282501
AAPL,2019,11,6,64.192497,64.372498,63.842499,115.8950005
AAPL,2019,11,7,64.684998,65.087502,64.527496,64.857498
AAPL,2019,11,8,64.672501,65.110001,64.212502,65.035004
AAPL,2019,11,11,64.574997,65.6175,64.57,65.550003
AAPL,2019,11,12,65.387497,65.697502,65.230003,65.489998
AAPL,2019,11,13,65.282501,66.195,65.267502,66.1175
AAPL,2019,11,14,65.9375,66.220001,65.525002,65.660004
AAPL,2019,11,15,65.919998,66.445,65.752502,66.440002
AAPL,2019,11,18,66.449997,66.857498,66.057503,66.775002
AAPL,2019,11,19,66.974998,67.0,66.347504,66.572502
AAPL,2019,11,20,66.385002,66.519997,65.099998,65.797501
