year,data
1901,23.736392974853516
1902,23.920108795166016
1903,23.434696197509766
1904,23.456588745117188
1905,23.26613998413086
1906,23.591291427612305
1907,23.40699577331543
1908,23.493839263916016
1909,23.41158676147461
1910,23.273822784423828
1911,23.595783233642578
1912,23.698068618774414
1913,23.401264190673828
1914,23.540531158447266
1915,23.968229293823242
1916,23.613759994506836
1917,22.957111358642578
1918,23.497814178466797
1919,23.560270309448242
1920,23.676597595214844
1921,23.95052719116211
1922,23.738632202148438
1923,23.723155975341797
1924,23.887470245361328
1925,23.42897605895996
1926,23.607730865478516
1927,23.497974395751953
1928,23.88370132446289
1929,23.681957244873047
1930,23.54489517211914
1931,23.92446517944336
1932,23.789661407470703
1933,23.357872009277344
1934,23.516633987426758
1935,23.527759552001953
1936,23.571237564086914
1937,23.450366973876953
1938,23.627925872802734
1939,23.67215347290039
1940,23.644695281982422
1941,24.37038803100586
1942,23.93306541442871
1943,23.62409782409668
1944,23.6203556060791
1945,23.388673782348633
1946,23.866853713989258
1947,23.979204177856445
1948,23.855632781982422
1949,23.70180320739746
1950,23.394927978515625
1951,23.850481033325195
1952,24.00906753540039
1953,24.237014770507812
1954,23.788171768188477
1955,23.647674560546875
1956,23.592716217041016
1957,23.651182174682617
1958,24.323802947998047
1959,23.871604919433594
1960,23.88223648071289
1961,23.49306869506836
1962,23.575407028198242
1963,23.723276138305664
1964,23.706661224365234
1965,23.805681228637695
1966,24.08566665649414
1967,23.641033172607422
1968,23.536514282226562
1969,24.148536682128906
1970,23.744827270507812
1971,23.273101806640625
1972,23.836040496826172
1973,23.959396362304688
1974,23.728649139404297
1975,23.433446884155273
1976,23.782958984375
1977,23.902652740478516
1978,23.666873931884766
1979,24.15829849243164
1980,24.160724639892578
1981,23.817047119140625
1982,23.84063148498535
1983,23.596023559570312
1984,23.773536682128906
1985,24.070215225219727
1986,23.82607650756836
1987,24.339014053344727
1988,24.34164810180664
1989,23.746337890625
1990,23.867107391357422
1991,23.915664672851562
1992,23.807758331298828
1993,24.044967651367188
1994,23.960952758789062
1995,24.070690155029297
1996,24.111146926879883
1997,23.71531105041504
1998,24.413785934448242
1999,24.296512603759766
2000,24.191299438476562
2001,24.303749084472656
2002,24.56045913696289
2003,24.334623336791992
2004,24.369565963745117
2005,24.153797149658203
2006,24.434362411499023
2007,24.385732650756836
2008,24.211040496826172
2009,24.915021896362305
2010,23.926294326782227
2011,23.369070053100586
2012,23.309038162231445
